"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"(the) Gnorp Apologue","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2025-01-30","Action Strategy"
".hack//G.U. Last Recode","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/1/2017","","2022-01-13","Compilation"
".hack//G.U. Vol. 1: Rebirth","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","5/18/2006","10/24/2006","2017-04-26","Action RPG"
".hack//G.U. Vol. 1: Rebirth","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/18/2006","","2022-01-13","Action RPG"
".hack//G.U. Vol. 2: Reminisce","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/28/2006","","2022-01-13","Action RPG"
".hack//G.U. Vol. 2: Reminisce","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/28/2006","5/8/2007","2017-04-26","Action RPG"
".hack//G.U. Vol. 3: Redemption","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1/18/2007","9/8/2007","2017-04-26","Action RPG"
".hack//G.U. Vol. 3: Redemption","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/18/2007","","2022-01-13","Action RPG"
".hack//G.U. Vol. 4: Reconnection","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/1/2017","11/3/2017","2022-01-13","Action RPG"
".hack//Infection","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Completionated","","","","","","","","Purchase","","","","6/20/2002","2/11/2003","2017-05-19","JRPG"
".hack//Mutation","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","9/19/2002","5/6/2003","2017-05-19","JRPG"
".hack//Outbreak","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","12/12/2002","9/9/2003","2017-04-26","JRPG"
".hack//Quarantine","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","4/10/2003","1/14/2004","2017-04-26","JRPG"
"100% Orange Juice","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/14/2009","","2022-01-13","Board Game"
"10000000","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","7/25/2012","","2017-04-26","Puzzle"
"12 Is Better Than 6","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/20/2015","","2026-02-01","Top-down Shooter"
"1954 Alcatraz","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/24/2014","","2017-04-26","Graphic Adventure"
"20 Minutes Till Dawn","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/7/2022","","2025-02-14","Top-down Shooter"
"2024: Mosaic Retrospective","","PC / Windows","Digital (Steam)","NA","Yes","No","Owned","Completionated","","","","","","","","Purchase","","","10","","","2025-02-03",""
"20XX","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/16/2017","","2022-01-13","Platformer"
"3D Dot Game Heroes","","PlayStation 3","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","11/5/2009","5/11/2010","2017-04-28","Action-adventure"
"7 Days to Die","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/13/2013","","2022-01-13","Survival Horror"
