"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
".hack//G.U. Last Recode","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/1/2017","11/3/2017","2/1/2021","Compilation"
".hack//G.U. Vol. 1: Rebirth","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/18/2006","","2/1/2021","Action RPG"
".hack//G.U. Vol. 2: Reminisce","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/28/2006","","2/1/2021","Action RPG"
".hack//G.U. Vol. 3: Redemption","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/18/2007","","2/1/2021","Action RPG"
".hack//G.U. Vol. 4: Reconnection","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/1/2017","11/3/2017","2/1/2021","Action RPG"
"1000 Amps","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","2/22/2012","","24/7/2018","Puzzle-platform"
"13 Sentinels: Aegis Rim","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/28/2019","9/22/2020","2/1/2021","Real-time Strategy"
"20XX","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/16/2017","7/10/2018","2/1/2021","Platformer"
"A Hat in Time","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/5/2017","10/5/2017","24/7/2018","Platformer"
"A-Jax","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1987","","26/1/2026","Scrolling Shooter"
"Abyss Odyssey","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/15/2014","7/28/2015","2/1/2021","Action-adventure"
"Abzu","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/2/2016","8/2/2016","31/3/2021","Graphic Adventure"
"Aeterna Noctis","","PlayStation 4","Digital (PSN)","NA","Yes","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","27/10/2022",""
"Agarest: Generations of War","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/27/2007","10/4/2013","24/7/2018","Tactical RPG"
"Age of Wonders: Planetfall","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/6/2019","","26/1/2026","Turn-based Strategy"
"AI War 2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/22/2019","","19/1/2021",""
"The Alliance Alive: HD Remastered","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/8/2019","10/8/2019","2/1/2021","JRPG"
