"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
".hack//G.U. Last Recode","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$11.71","","","","","","","Purchase","","","","11/1/2017","11/3/2017","6/8/2018","Compilation"
".hack//G.U. Vol. 1: Rebirth","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","5/18/2006","","6/8/2018","Action RPG"
".hack//G.U. Vol. 2: Reminisce","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","9/28/2006","","6/8/2018","Action RPG"
".hack//G.U. Vol. 3: Redemption","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/18/2007","","6/8/2018","Action RPG"
".hack//G.U. Vol. 4: Reconnection","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/1/2017","","6/8/2018","Action RPG"
"11-11: Memories Retold","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/8/2018","","3/17/2021","Graphic Adventure"
"13 Sentinels: Aegis Rim","","PlayStation 5","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","9","11/28/2019","","1/8/2021","Real-time Strategy"
"80 Days (2015)","","Mobile (Android)","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","9/29/2015","","7/30/2017","Text Adventure"
"A Good Snowman is Hard to Build","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","2/25/2015","","7/3/2019","Puzzle"
"A Story About My Uncle","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","5/28/2014","","4/19/2019","Platformer"
"A Story About My Uncle","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/28/2014","5/28/2014","3/17/2021","Platformer"
"Abzu","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","5","8/2/2016","","3/19/2020","Graphic Adventure"
"Afterparty","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","1/4/2020",""
"Age of Empires II: HD Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/9/2013","","3/17/2021","Real-time Strategy"
"Age of Empires II: HD Edition","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/9/2013","","7/14/2018","Real-time Strategy"
"Age of Empires III: Definitive Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/15/2020","","3/17/2021","Real-time Strategy"
"Alan Wake","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$5.99","","","","","","","Purchase","","","8","5/14/2010","5/18/2010","6/13/2017","Action-adventure"
"Among Us","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/15/2018","","3/17/2021","Party"
"Antihero","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","7/10/2017","","7/3/2019","Turn-based Strategy"
"Assassin's Creed","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$3.74","","","","","","","Purchase","","","","11/13/2007","11/13/2007","8/6/2017","Action-adventure"
"Assassin's Creed Chronicles: China","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","4/21/2015","","6/27/2017","Action-adventure"
"Assassin's Creed Chronicles: India","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","1/12/2016","","6/27/2017","Action-adventure"
"Assassin's Creed Chronicles: Russia","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","2/9/2016","","6/27/2017","Action-adventure"
"Assassin's Creed Identity","","Mobile (Android)","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","6","","","4/29/2018",""
"Assassin's Creed II","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","11/17/2009","","8/5/2017","Action-adventure"
"Assassin's Creed II","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$2.98","","","","","","","Purchase","","","8","11/17/2009","11/17/2009","8/6/2017","Action-adventure"
"Assassin's Creed II: Battle of Forli","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","8/5/2017",""
"Assassin's Creed II: Bonfire of the Vanities","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","8/5/2017",""
"Assassin's Creed III","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$3.05","","","","","","","Purchase","","","","10/30/2012","10/30/2012","8/6/2017","Action-adventure"
"Assassin's Creed IV: Black Flag","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$7.15","","","","","","","Purchase","","","","10/29/2013","10/29/2013","8/6/2017","Action-adventure"
"Assassin's Creed IV: Black Flag - Freedom Cry","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","2/18/2014","2/18/2014","8/1/2017","Action-adventure"
"Assassin's Creed Liberation HD","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","1/14/2014","","8/6/2017","Action-adventure"
"Assassin's Creed Odyssey","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","$9.05","","","","","","","Purchase","","","9","10/5/2018","10/5/2018","10/7/2018","Action RPG"
