"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
".hack//G.U. Last Recode","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$11.71","$22.00","","","","","","Purchase","","","","11/1/2017","11/3/2017","7/5/2019","Compilation"
".hack//G.U. Vol. 1: Rebirth","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","5/18/2006","","7/5/2019","Action RPG"
".hack//G.U. Vol. 2: Reminisce","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","9/28/2006","","7/5/2019","Action RPG"
".hack//G.U. Vol. 3: Redemption","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/18/2007","","7/5/2019","Action RPG"
".hack//G.U. Vol. 4: Reconnection","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/1/2017","","7/5/2019","Action RPG"
"1000xRESIST","","Nintendo Switch","Digital","NA","No","No","Owned","Finished","","$15.00","","","","","","Purchase","","","","","","8/28/2024",""
"13 Sentinels: Aegis Rim","","PlayStation 4","Digital (PSN)","NA","No","No","Owned","Finished","","$60.00","","","","","","Purchase","","","","11/28/2019","9/22/2020","10/12/2020","Real-time Strategy"
"428: Shibuya Scramble","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$9.99","","","","","","Purchase","","","","12/4/2008","9/4/2018","3/1/2020","Visual Novel"
"7th Dragon III Code: VFD","","Nintendo 3DS","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$14.99","","","","","","Purchase","","","","10/15/2015","7/12/2016","4/11/2020","JRPG"
"999: Nine Hours, Nine Persons, Nine Doors","","Nintendo DS","Physical (Unassigned)","NA","No","No","Owned","Completionated","$49.95","","","","","","","Purchase","","","","12/10/2009","11/16/2010","4/22/2017","Visual Novel"
"A Dark Room","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$1.00","","","","","","Purchase","","","","11/8/2013","4/12/2019","9/17/2020","RPG"
"A Game About Digging A Hole","","PC / Windows","Digital","NA","No","No","Owned","Finished","","$3.00","","","","","","Purchase","","","","2/7/2025","","2/20/2025","Simulation"
"A Hat in Time","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$36.00","","","","","","Purchase","","","","10/5/2017","10/18/2019","5/5/2020","Platformer"
"A Short Hike","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$6.00","","","","","","Purchase","","","","4/5/2019","","6/16/2021","Platform-adventure"
"A Way Out","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$6.00","","","","","","Purchase","","6/14/2024","","3/23/2018","3/23/2018","7/30/2024","Action-adventure"
"Affordable Space Adventures","","Wii U","Digital (Nintendo eShop)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","4/9/2015","4/9/2015","4/29/2017","Puzzle"
"Afterparty","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$10.00","","","","","","Purchase","","","","","","11/5/2020",""
"AI: The Somnium Files","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$20.00","","","","","","Purchase","","","","9/17/2019","9/17/2019","1/12/2021","Graphic Adventure"
"Alice: Madness Returns","","PlayStation 3","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/14/2011","","4/29/2017","Action-adventure"
"The Alliance Alive: HD Remastered","","Nintendo Switch","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$65.09","$50.00","","","","","","Purchase","","","","10/8/2019","10/8/2019","10/16/2019","JRPG"
"The Alters","","PlayStation 5","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$22.00","","","","","","Purchase","","","","6/13/2025","6/13/2025","12/22/2025","Graphic Adventure"
"Animal Crossing: New Horizons","","Nintendo Switch","Digital (Nintendo eShop)","NA","Yes","No","Owned","Incomplete","","$60.00","","","","","","Purchase","","","","3/20/2020","3/20/2020","3/23/2020","Social Simulation"
"Animal Crossing: New Leaf","","Nintendo 3DS","Physical (Unassigned)","NA","No","No","Owned","N/A","$21.00","","","","","","","Purchase","","","","11/8/2012","6/9/2013","4/22/2017","Social Simulation"
"Anomaly: Warzone Earth","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","4/8/2011","","7/3/2017","Tower Defense"
"Antichamber","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","$2.50","","","","","","Purchase","","","","1/31/2013","","6/27/2024","Puzzle"
"Apollo Justice: Ace Attorney","","Nintendo 3DS","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$5.00","","","","","","Purchase","","","","4/12/2007","11/21/2017","3/15/2022","Visual Novel"
"Armored Core VI: Fires of Rubicon","","PlayStation 5","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$17.44","$20.00","","","","","","Purchase","","","","8/24/2023","8/25/2023","12/5/2024","Vehicular Combat"
"Arms","","Nintendo Switch","Physical (Unassigned)","NA","No","No","Owned","Incomplete","$23.11","","","","","","","Purchase","","","","6/16/2017","6/16/2017","6/26/2017","Fighting"
"Astral Chain","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$60.00","","","","","","Purchase","","","","8/30/2019","8/30/2019","8/31/2019","Hack and Slash (Action)"
"Astro Bot","","PlayStation 5","Physical (New)","NA","No","No","Owned","Finished","","$0.00","","X","X","X","X","Purchase","","12/25/2024","","9/6/2024","9/6/2024","12/28/2024","Platform-adventure"
"Astro's Playroom","","PlayStation 5","Digital (PSN)","NA","No","No","Owned","Finished","","$0.00","","","","","","Purchase","","","","11/12/2020","11/12/2020","1/1/2021","Platformer"
"Atelier Ayesha: The Alchemist of Dusk","","PlayStation 3","Digital (PSN)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","6/28/2012","3/5/2013","4/29/2017","JRPG"
"Atelier Ayesha: The Alchemist of Dusk DX","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/25/2019","1/14/2020","9/23/2021","JRPG"
"Atelier Dusk Trilogy Deluxe Pack","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$68.00","","","","","","Purchase","","","","12/25/2019","1/14/2020","9/23/2021","Compilation"
"Atelier Escha & Logy: Alchemists of the Dusk Sky DX","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","12/25/2019","1/14/2020","9/23/2021","JRPG"
"Atelier Firis: The Alchemist and the Mysterious Journey DX","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/22/2021","4/22/2021","9/23/2021","JRPG"
"Atelier Lulua: The Scion of Arland","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$60.00","","","","","","Purchase","","","","3/20/2019","5/21/2019","2/6/2021","JRPG"
