"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"10000000","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","7/25/2012","","7/17/2023","Puzzle"
"The 11th Hour","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/30/1995","","7/17/2023","Puzzle"
"The 39 Steps","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","4/25/2013","","7/17/2023","Visual Novel"
"7 Days to Die","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","12/13/2013","","7/17/2023","Survival Horror"
"The 7th Guest","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1/1/1993","","7/17/2023","Interactive Movie"
"80 Days (2015)","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/29/2015","","7/17/2023","Text Adventure"
"911 Operator","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","2/24/2017","","7/17/2023","Simulation"
"A Bird Story","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","11/7/2014","","7/17/2023","Graphic Adventure"
"A Game of Thrones: Genesis","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","5","","","7/17/2023",""
"A Hat in Time","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","10/5/2017","10/5/2017","7/17/2023","Platformer"
"A Story About My Uncle","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","5/28/2014","5/28/2014","7/17/2023","Platformer"
"A Virus Named Tom","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","8/1/2012","8/1/2012","7/17/2023","Puzzle"
"A.R.E.S.","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1/19/2011","","7/17/2023","Run and Gun"
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! – A Reckless Disregard for Gravity","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/3/2009","","7/17/2023","Platform-adventure"
"Abyss Odyssey","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","7/15/2014","7/15/2014","7/17/2023","Action-adventure"
"Acceleration of SUGURI 2","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","3/7/2018","","7/17/2023","Shoot 'em Up"
"ADOM: Ancient Domains of Mystery","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"The Adventures of Shuggy","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","7","6/15/2011","","7/17/2023","Puzzle-platform"
"AER Memories of Old","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/25/2017","","7/17/2023","Action-adventure"
