"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"1701 A.D.","","Nintendo DS","Physical (Used)","NA","No","Yes","Owned","Incomplete","","$2.99","","","X","","","Purchase","","","","10/30/2006","","4/26/2017","City-builder"
"The 2D Adventures of Rotating Octopus Character","","PlayStation Vita","Digital (PlayStation Plus)","NA","No","No","Owned","Incomplete","","$0.00","","","","","","Purchase","","6/2/2011","","","","4/29/2017",""
"3-D Tic-Tac-Toe","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1979","","2/13/2021","Board Game"
"99Vidas - The Game","","PlayStation Vita","Digital (PlayStation Plus)","NA","No","No","Owned","Incomplete","","$0.00","","","","","","Purchase","","4/20/2018","","12/22/2016","","4/20/2018","Beat 'em Up"
"A Druid's Duel","","Linux","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","$2.40","","","","","","Purchase","Humble Bundle","","","","","4/22/2017","Turn-based Strategy"
"A Game of Concentration","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1978","","2/13/2021","Puzzle"
"A Ride into the Mountains","","Mobile (Android)","Digital","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","","","4/29/2017",""
"A Winter's Daydream","","PlayStation Vita","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$2.99","","","","","","Purchase","","6/12/2022","","10/15/2018","10/8/2019","6/12/2022","Visual Novel"
"Active Neurons","","PlayStation Vita","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$3.49","","","","","","Purchase","","6/12/2022","","10/15/2019","4/29/2020","6/12/2022","Puzzle"
"Adam's Venture Chronicles","","PlayStation 3","Digital (PSN)","NA","No","No","Owned","Incomplete","","$9.59","","","","","","Purchase","","2/7/2014","","","","5/4/2017","Compilation"
"Adventures to Go!","","PlayStation Vita","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$7.50","","","","","","Purchase","","8/21/2012","","11/13/2008","","5/1/2017","RPG"
"AeternoBlade","","PlayStation Vita","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$2.24","","","","","","Purchase","","12/27/2016","","2/18/2014","2/10/2015","5/5/2017","Platform-adventure"
